time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-18T16:15:18.281Z,59.5049,-151.9156,53.4,1.9,ml,,,,0.5,ak,ak0237rrfuac,2023-06-18T16:17:14.867Z,"13 km WNW of Seldovia, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-06-18T15:53:56.046Z,-23.7135,-175.7205,10,4.6,mb,23,115,2.576,0.85,us,us7000k9dw,2023-06-18T16:17:32.040Z,"274 km SSW of ‘Ohonua, Tonga",earthquake,10.69,1.911,0.107,26,reviewed,us,us
2023-06-18T15:36:29.521Z,38.1274,38.6026,10,4.5,mb,55,63,0.707,0.94,us,us7000k9dr,2023-06-18T16:24:14.040Z,"eastern Turkey",earthquake,2.55,1.847,0.075,52,reviewed,us,us
2023-06-18T15:33:10.730Z,18.0741666666667,-67.0051666666667,22.51,2.38,md,15,107,0.03071,0.19,pr,pr71413898,2023-06-18T15:54:47.370Z,"Puerto Rico",earthquake,0.48,0.71,0.0652223328386961,8,reviewed,pr,pr
2023-06-18T15:22:45.155Z,63.6655,-147.3434,250,1.5,ml,,,,0.92,ak,ak0237rqvyrn,2023-06-18T15:35:45.094Z,"78 km E of Denali Park, Alaska",earthquake,,6.1,,,automatic,ak,ak
2023-06-18T15:04:49.691Z,-23.7728,-175.7382,10,5.8,mww,39,121,2.638,0.94,us,us7000k9dk,2023-06-18T15:34:02.892Z,"280 km SSW of ‘Ohonua, Tonga",earthquake,9.5,1.862,0.093,11,reviewed,us,us
2023-06-18T15:04:13.667Z,64.9961,-147.3866,1.8,1.6,ml,,,,0.57,ak,ak0237rqs1gb,2023-06-18T15:06:47.508Z,"11 km ENE of Fox, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-06-18T14:57:42.242Z,59.6959,-152.7124,88.1,1.8,ml,,,,0.61,ak,ak0237rqi100,2023-06-18T15:00:04.368Z,"50 km W of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-06-18T14:54:44.300Z,35.678,-117.5345,10.62,1.14,ml,12,109,0.09112,0.17,ci,ci40488224,2023-06-18T15:02:49.295Z,"14km ENE of Ridgecrest, CA",earthquake,0.42,0.94,0.136,9,reviewed,ci,ci
2023-06-18T14:41:35.832Z,58.4632,-154.125,250,2.2,ml,,,,1.06,ak,ak0237rqel1r,2023-06-18T14:43:53.742Z,"84 km WNW of Aleneva, Alaska",earthquake,,6.7,,,automatic,ak,ak
2023-06-18T14:33:38.197Z,37.2931,-117.603,1.9,0.6,ml,9,174.58,0.069,0.1583,nn,nn00861359,2023-06-18T14:35:56.284Z,"51 km S of Silver Peak, Nevada",earthquake,,11.4,0.97,6,automatic,nn,nn
2023-06-18T14:29:39.184Z,-23.9721,-175.7954,28.456,5.7,mww,49,78,2.842,0.54,us,us7000k9d8,2023-06-18T14:53:13.002Z,"Tonga region",earthquake,10.07,4.774,0.071,19,reviewed,us,us
2023-06-18T14:28:45.429Z,-23.7584,-175.9331,10,5.1,mb,21,133,2.663,0.99,us,us7000k9d9,2023-06-18T14:47:10.040Z,"285 km SSW of ‘Ohonua, Tonga",earthquake,12.99,1.906,0.042,181,reviewed,us,us
2023-06-18T14:25:38.915Z,-23.8868,-175.9281,10,5.1,mb,21,164,2.786,1.01,us,us7000k9d7,2023-06-18T14:43:13.040Z,"299 km SSW of ‘Ohonua, Tonga",earthquake,10.43,1.893,0.061,86,reviewed,us,us
2023-06-18T14:00:32.695Z,57.9225,-155.8802,11.6,1.8,ml,,,,0.74,ak,ak0237rq5sg5,2023-06-18T14:01:52.489Z,"93 km WNW of Karluk, Alaska",earthquake,,6.1,,,automatic,ak,ak
2023-06-18T13:52:44.165Z,60.0534,-152.893,103.8,1.5,ml,,,,0.22,ak,ak0237rpvhdf,2023-06-18T15:34:30.062Z,"65 km W of Happy Valley, Alaska",earthquake,,0.9,,,reviewed,ak,ak
